title,url,city,location,property_type,latitude,longitude,price,rating,reviews,guests,studio,bedrooms,beds,baths,shared_bath,kitchen,wifi,washer,tv,parking,refrigerator
Summer appartement Oslos best part,https://www.airbnb.com/rooms/1210911?adults=1&children=0&infants=0&check_in=2021-07-23&check_out=2021-07-28&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Private room,59.92572,10.76314,25,4.55,225,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Sentral in Oslo,https://www.airbnb.com/rooms/49272215?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.91964,10.77305,47,,,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
"Central, modern and cozy studio",https://www.airbnb.com/rooms/19384771?adults=1&children=0&infants=0&check_in=2021-06-08&check_out=2021-06-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.9163,10.7547,68,4.67,275,2,1,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Spacious apartment with supreme location!,https://www.airbnb.com/rooms/49251357?adults=1&children=0&infants=0&check_in=2021-08-08&check_out=2021-08-15&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Entire apartment,59.9312,10.7185,103,,,5,0,3,4,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Loft at St.Hanshaugen,https://www.airbnb.com/rooms/49092727?adults=1&children=0&infants=0&check_in=2021-08-19&check_out=2021-08-26&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire condominium,59.92181,10.73996,79,,,4,0,2,2,1.5,0.0,1.0,1.0,1.0,0.0,1.0,1.0
Sentral toppleilighet med solrik balkong,https://www.airbnb.com/rooms/45821759?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-13&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire condominium,59.93104,10.72411,101,5.0,6,4,1,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
Rom i sentrum med flott utsikt  (balkong),https://www.airbnb.com/rooms/34245713?adults=1&children=0&infants=0&check_in=2021-06-07&check_out=2021-06-12&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Private room,59.92492,10.74737,43,5.0,7,2,0,1,1,1,1.0,1.0,1.0,1.0,1.0,0.0,1.0
Nice apartment with roof terrace in city center,https://www.airbnb.com/rooms/35497501?adults=1&children=0&infants=0&check_in=2021-06-14&check_out=2021-06-19&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire apartment,59.92104,10.75186,89,4.92,13,2,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,1.0
"Super central, nice and cozy apartment",https://www.airbnb.com/rooms/45704899?adults=1&children=0&infants=0&check_in=2021-07-07&check_out=2021-07-14&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Frogner,Entire apartment,59.91546,10.7213,90,4.88,24,2,0,1,1,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
Koselig leilighet over 2 etasjer med hems.,https://www.airbnb.com/rooms/49050152?adults=1&children=0&infants=0&check_in=2021-08-24&check_out=2021-08-30&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Nordstrand,Entire apartment,59.90234,10.77358,85,,,3,0,1,2,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0
central and nice room.Great location,https://www.airbnb.com/rooms/12651632?adults=1&children=0&infants=0&check_in=2021-07-03&check_out=2021-07-08&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Majorstuen,Private room,59.9311,10.7156,41,4.95,243,2,0,1,1,1,0.0,1.0,1.0,1.0,0.0,0.0,1.0
Urban Apartments St Hanshaugen Studio 206,https://www.airbnb.com/rooms/47022149?adults=1&children=0&infants=0&check_in=2021-08-06&check_out=2021-08-12&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,St. Hanshaugen,Entire apartment,59.91943,10.74335,55,,,1,1,1,1,1,0.0,1.0,1.0,0.0,0.0,0.0,1.0
"In the heart of Oslo. Brand new, cozy, central",https://www.airbnb.com/rooms/22331999?adults=1&children=0&infants=0&check_in=2021-06-01&check_out=2021-06-07&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Grünerløkka,Entire condominium,59.9254,10.7622,69,4.78,100,3,1,1,1,1,0.0,0.0,1.0,1.0,1.0,0.0,1.0
Usjenert toppleilighet på Trosterud nær Østmarka,https://www.airbnb.com/rooms/48367821?adults=1&children=0&infants=0&check_in=2021-08-09&check_out=2021-08-16&previous_page_section_name=1000&federated_search_id=8b0124c8-58c8-4c00-924c-3a0129c2446f,Oslo,Alna,Entire condominium,59.92481,10.86942,36,,,3,0,1,2,1,0.0,1.0,1.0,1.0,1.0,0.0,0.0
